Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-10-06,24.209999,24.52,23.639999,23.84,23.84,4687100,164
2022-10-07,23.440001,23.83,22.879999,22.940001,22.940001,4410600,165
2022-10-10,23.559999,23.74,22.07,22.450001,22.450001,5137600,166
2022-10-11,22.690001,22.969999,22.1,22.620001,22.620001,3948200,167
2022-10-12,23.15,23.280001,22.040001,22.110001,22.110001,4331500,168
2022-10-13,22.290001,23.32,21.98,23.040001,23.040001,4424200,169
2022-10-14,22.620001,22.700001,22.139999,22.360001,22.360001,3087300,170
2022-10-17,20.82,21.17,20.620001,20.84,20.84,5546200,171
2022-10-18,20.93,21.139999,19.860001,20.040001,20.040001,5150000,172
2022-10-19,19.370001,19.629999,19.049999,19.07,19.07,6051800,173
2022-10-20,18.809999,19.26,18.59,18.83,18.83,6589800,174
2022-10-21,17.860001,18.01,17.41,17.82,17.82,8087500,175
2022-10-24,18.09,18.860001,18.08,18.58,18.58,7506900,176
2022-10-25,18.950001,20.01,18.85,20,20,8156600,177
2022-10-26,19.1,19.99,19.09,19.83,19.83,7457300,178
2022-10-27,19.43,19.719999,18.43,18.91,18.91,6655500,179
2022-10-28,18.360001,18.74,17.91,18.690001,18.690001,6506700,180
2022-10-31,20.27,20.58,19.65,20.379999,20.379999,8796600,181
2022-11-01,19.33,19.42,18.139999,18.84,18.84,9425400,182
2022-11-02,19.82,20.34,19.549999,19.91,19.91,5164000,183
2022-11-03,19.629999,19.9,18.98,19.1,19.1,5412700,184
2022-11-04,19.700001,21.02,19.07,20.82,20.82,7693300,185
2022-11-07,22.530001,23.32,21.219999,21.700001,21.700001,9882200,186
2022-11-08,20.620001,20.620001,19.59,20.200001,20.200001,9105000,187
2022-11-09,18.91,19.469999,18.469999,19.16,19.16,9140700,188
2022-11-10,19.610001,20.219999,19.219999,19.879999,19.879999,5869400,189
2022-11-11,20.42,21,18.67,19.16,19.16,11761400,190
2022-11-14,20.57,20.690001,19.040001,19.52,19.52,11553500,191
2022-11-15,19.129999,19.82,18.870001,19.77,19.77,7565400,192
2022-11-16,18.84,20.18,18.58,20.09,20.09,9214300,193
2022-11-17,20.59,21.049999,20.1,20.6,20.6,6261800,194
2022-11-18,19.700001,20.790001,19.68,20.559999,20.559999,8555700,195
2022-11-21,21.280001,22.15,21.219999,21.790001,21.790001,5274200,196
2022-11-22,21.620001,23,21.43,22.85,22.85,5699200,197
2022-11-23,24.620001,24.629999,23.110001,23.51,23.51,7900300,198
2022-11-25,23.049999,23.610001,22.620001,22.700001,22.700001,3097300,199
2022-11-28,21.530001,22.5,21.5,22.360001,22.360001,6598700,200
2022-11-29,22.049999,22.6,21.610001,22.139999,22.139999,4935400,201
2022-11-30,22.15,22.18,20.75,21.219999,21.219999,7086000,202
2022-12-01,21.65,21.860001,20.450001,20.870001,20.870001,7280000,203
2022-12-02,19.75,20.360001,18.969999,19.08,19.08,11159900,204
2022-12-05,17.74,17.889999,17.01,17.1,17.1,13770100,205
2022-12-06,16.85,17.18,16.299999,16.389999,16.389999,8659500,206
2022-12-07,17.120001,17.83,16.469999,17.74,17.74,9238700,207
2022-12-08,17.860001,18.790001,17.780001,18.25,18.25,5940900,208
2022-12-09,19.27,19.48,18.49,19.26,19.26,9318800,209
2022-12-12,20.92,21.01,19.83,19.91,19.91,7720500,210
2022-12-13,21.290001,21.67,20.75,21.27,21.27,8569200,211
2022-12-14,20.1,20.34,19.34,19.469999,19.469999,7760400,212
2022-12-15,20.17,21.33,19.719999,20.92,20.92,8091800,213
2022-12-16,19.709999,20.41,19.639999,20.1,20.1,6008700,214
2022-12-19,18.57,18.82,17.9,18,18,7425700,215
2022-12-20,16.83,16.92,16.41,16.610001,16.610001,9299700,216
2022-12-21,17.110001,17.24,16.450001,16.85,16.85,6575700,217
2022-12-22,16.51,16.93,15.6,15.81,15.81,11102000,218
2022-12-23,15.35,16.32,15.33,15.91,15.91,8251900,219
2022-12-27,16.1,16.370001,15.88,16.120001,16.120001,7002800,220
2022-12-28,14.81,15.12,14.19,15.05,15.05,9975900,221
2022-12-29,14.42,14.62,14.06,14.54,14.54,7778100,222
2022-12-30,14.05,14.44,13.92,14.1,14.1,8225700,223
2023-01-03,12.81,13.08,12.41,12.78,12.78,10194900,224
2023-01-04,12.98,13.41,12.73,13.23,13.23,6284700,225
2023-01-05,12.18,12.29,11.62,11.96,11.96,17839800,226
2023-01-06,11.86,12.21,11.67,11.89,11.89,13326100,227
2023-01-09,12.32,13.13,12.25,12.43,12.43,12539300,228
2023-01-10,11.69,11.86,11.29,11.43,11.43,15233000,229
2023-01-11,11.59,11.79,10.89,11.72,11.72,21107200,230
2023-01-12,12.46,12.55,11.68,11.76,11.76,11345700,231
2023-01-13,11.29,11.55,10.78,11.03,11.03,14325100,232
2023-01-17,11.62,11.79,11.25,11.55,11.55,16880400,233
2023-01-18,10.83,11.08,10.58,10.62,10.62,19058400,234
2023-01-19,10.71,10.85,10.47,10.51,10.51,12918100,235
2023-01-20,10.69,10.87,10.18,10.26,10.26,15171000,236
2023-01-23,10.59,11.06,10.21,11.01,11.01,20385600,237
2023-01-24,10.77,10.87,10.36,10.49,10.49,10275600,238
2023-01-25,10.15,10.26,9.81,9.81,9.81,20197100,239
2023-01-26,9.31,9.78,9.15,9.62,9.62,36943800,240
2023-01-27,9.71,9.92,9.45,9.81,9.81,18820300,241
2023-01-30,9.31,9.46,9.09,9.12,9.12,26854900,242
2023-01-31,9.03,9.39,8.98,9.32,9.32,27376200,243
2023-02-01,8.91,9,8.41,8.5,8.5,48668700,244
2023-02-02,8.62,8.86,8.3,8.38,8.38,29182300,245
2023-02-03,8.29,8.34,8,8.19,8.19,33379400,246
2023-02-06,8.26,8.52,8.08,8.5,8.5,21097700,247
2023-02-07,8.51,8.92,8.49,8.87,8.87,26046800,248
2023-02-08,8.65,8.74,8.09,8.23,8.23,28754900,249
2023-02-09,8.28,8.63,8.17,8.35,8.35,21913000,250
2023-02-10,8.39,8.715,8.33,8.51,8.51,14448082,251
